"Longitude","Latitude","Prediction","Method"
-67.144107,18.216038,0.23728925308672,"ASS"
-157.871171,21.303382,0.237057676975468,"ASS"
-158.088613,21.323745,0.236826101019146,"ASS"
-80.256944,26.053889,0.236594525279078,"ASS"
-81.710959,26.270083,0.236362949816586,"ASS"
-81.981523,26.548212,0.236131374692995,"ASS"
-80.058492,26.593808,0.235899799969627,"ASS"
-80.311033,27.389079,0.235668225522072,"ASS"
-82.538429,27.892523,0.23543665048299,"ASS"
-81.636464,28.347509,0.235205073799304,"ASS"
-81.310556,28.746111,0.23497349441794,"ASS"
-82.100646,29.170533,0.234741911285824,"ASS"
-82.173149,29.192754,0.23451032334988,"ASS"
-98.311692,29.275381,0.234278729586147,"ASS"
-95.015544,29.583047,0.234047129087117,"ASS"
-95.267222,29.625556,0.233815520974395,"ASS"
-98.564936,29.632058,0.233583904369588,"ASS"
-95.294722,29.686389,0.2333522783943,"ASS"
-95.499219,29.695729,0.233120642170137,"ASS"
-95.079444,29.758889,0.232888994818706,"ASS"
-95.395784,29.772915,0.232657335622004,"ASS"
-93.761341,30.085263,0.232425664503609,"ASS"
-84.9903,30.1103,0.232193981547489,"ASS"
-91.126041,30.204218,0.231962286837615,"ASS"
-90.965628,30.229653,0.231730580457957,"ASS"
-81.453611,30.260278,0.231498862492484,"ASS"
-88.53393,30.378287,0.231267133212021,"ASS"
-89.049778,30.390369,0.231035393634812,"ASS"
-90.199678,30.429381,0.230803644965957,"ASS"
-91.179219,30.461981,0.230571888410553,"ASS"
-81.587339,30.477725,0.230340125173702,"ASS"
-94.6742,30.7017,0.2301083564605,"ASS"
-110.951513,31.291293,0.22987658339613,"ASS"
-97.070704,31.653086,0.229644806786101,"ASS"
-106.288,31.6675,0.229413027356005,"ASS"
-106.323578,31.785769,0.229181245831432,"ASS"
-110.99644,31.87952,0.228949462937975,"ASS"
-96.399141,32.031934,0.228717679401225,"ASS"
-110.774357,32.04767,0.228485895946774,"ASS"
-110.980134,32.172995,0.228254113342283,"ASS"
-110.737116,32.174538,0.228022332523696,"ASS"
-110.9823,32.29515,0.227790554469029,"ASS"
